"Team","Rank w/i Role","Role","DRA","DRA-","cFIP","Innings Pitched"
"SF","1","SP","3.8","87","84","724.3"
"HOU","2","SP","3.94","90","95","870"
"NYM","3","SP","3.95","90","92","788"
"TB","4","SP","3.97","91","89","659.3"
"ATL","5","SP","3.98","91","92","880.3"
"SD","6","SP","4.09","94","97","801.7"
"LAD","7","SP","4.11","94","99","798.7"
"MIL","8","SP","4.14","95","96","772"
"MIA","9","SP","4.23","97","96","774.3"
"PHI","10","SP","4.25","97","95","872"
"NYY","10","SP","4.25","97","98","976"
"LAA","12","SP","4.29","98","96","791.7"
"TOR","13","SP","4.34","99","98","797.7"
"CWS","14","SP","4.35","99","101","788"
"CLE","15","SP","4.47","102","104","785.7"
"BOS","16","SP","4.55","104","103","715"
"CHC","17","SP","4.61","105","104","698"
"SEA","18","SP","4.62","106","98","880"
"CIN","19","SP","4.81","110","104","784.7"
"ARI","20","SP","4.82","110","106","801"
"TEX","21","SP","4.86","111","104","752"
"MIN","21","SP","4.86","111","111","824"
"STL","23","SP","4.9","112","103","989.3"
"PIT","24","SP","4.97","114","105","723.3"
"BAL","25","SP","5.09","117","110","698.3"
"KC","26","SP","5.19","119","109","739.7"
"DET","27","SP","5.22","119","114","705.3"
"OAK","28","SP","5.27","120","113","802.3"
"COL","29","SP","5.39","123","112","759.7"
"WSH","30","SP","5.49","126","116","705"
"HOU","1","RP","3.85","88","91","469.3"
"NYM","2","RP","3.97","91","90","556.3"
"ATL","3","RP","3.98","91","92","585"
"SEA","4","RP","4.01","92","93","534"
"LAD","4","RP","4.01","92","92","576"
"CLE","6","RP","4.08","93","93","538.3"
"CWS","7","RP","4.09","93","94","554"
"PHI","8","RP","4.1","94","93","531.7"
"BAL","9","RP","4.19","96","94","659.3"
"MIN","10","RP","4.2","96","95","718.7"
"DET","11","RP","4.23","97","96","597.3"
"MIA","12","RP","4.26","97","96","569.7"
"SD","13","RP","4.28","98","97","542"
"MIL","14","RP","4.3","98","95","626"
"BOS","15","RP","4.31","99","99","606.7"
"TB","16","RP","4.32","99","98","639"
"CHC","17","RP","4.33","99","97","741.3"
"CIN","18","RP","4.36","100","103","543"
"WSH","18","RP","4.36","100","102","592"
"TOR","18","RP","4.36","100","99","660.3"
"LAA","18","RP","4.36","100","101","595.3"
"TEX","22","RP","4.39","100","100","613.7"
"NYY","23","RP","4.4","101","97","655.3"
"OAK","24","RP","4.47","102","100","570.3"
"KC","24","RP","4.47","102","101","603"
"COL","26","RP","4.5","103","103","518.3"
"SF","26","RP","4.5","103","102","601"
"STL","28","RP","4.55","104","101","542"
"PIT","29","RP","4.7","107","105","713"
"ARI","30","RP","4.71","108","107","550.3"
