"Park","Team","Runs","HR","1B","2B","3B"
"Coors Field","Colorado Rockies","1.344","1.197","1.219","1.264","2.124"
"Fenway Park","Boston Red Sox","1.174","0.960","1.047","1.423","1.153"
"Great American Ball Park","Cincinnati Reds","1.162","1.352","1.025","1.059","0.521"
"Kauffman Stadium","Kansas City Royals","1.103","0.796","1.168","1.202","1.283"
"Oriole Park at Camden Yards","Baltimore Orioles","1.088","1.324","1.004","1.001","0.829"
"Angel Stadium","Los Angeles Angels","1.068","1.159","1.027","0.982","0.829"
"Truist Park","Atlanta Braves","1.063","1.017","1.005","1.051","0.935"
"Chase Field","Arizona Diamondbacks","1.044","0.878","1.067","1.106","1.441"
"PNC Park","Pittsburgh Pirates","1.020","0.847","0.992","1.259","1.036"
"Rogers Centre","Toronto Blue Jays","1.017","1.105","0.972","1.003","1.096"
"American Family Field","Milwaukee Brewers","1.014","1.055","0.950","0.868","1.000"
"Minute Maid Park","Houston Astros","1.005","1.072","0.960","0.914","1.141"
"Citizens Bank Park","Philadelphia Phillies","1.000","1.120","1.009","0.916","1.176"
"Guaranteed Rate Field","Chicago White Sox","0.995","1.284","0.910","0.826","0.497"
"Nationals Park","Washington Nationals","0.989","1.082","0.990","1.046","0.781"
"Progressive Field","Cleveland Guardians","0.984","1.044","0.970","1.028","0.783"
"loanDepot park","Miami Marlins","0.982","0.853","1.018","0.955","1.503"
"Target Field","Minnesota Twins","0.980","0.913","0.976","1.105","0.958"
"Comerica Park","Detroit Tigers","0.970","0.849","1.026","0.998","2.525"
"Wrigley Field","Chicago Cubs","0.968","0.985","1.010","0.925","1.366"
"Globe Life Field","Texas Rangers","0.963","0.893","1.034","0.882","0.882"
"Yankee Stadium","New York Yankees","0.952","1.044","0.976","0.791","0.622"
"Dodger Stadium","Los Angeles Dodgers","0.928","1.223","0.947","0.934","0.475"
"T-Mobile Park","Seattle Mariners","0.911","0.954","0.959","0.829","0.436"
"Oracle Park","San Francisco Giants","0.908","0.779","1.012","1.010","1.400"
"PETCO Park","San Diego Padres","0.885","0.929","0.923","0.931","0.582"
"Busch Stadium","St. Louis Cardinals","0.884","0.820","1.019","0.882","0.861"
"Citi Field","New York Mets","0.881","0.978","0.905","0.872","0.510"
"Oakland Coliseum","Oakland Athletics","0.878","0.819","0.971","1.004","0.883"
"Tropicana Field","Tampa Bay Rays","0.862","0.831","0.915","0.954","0.947"
""
""
