"Team","HomeWins","HomeLosses","HomeWinningPct","AwayWins","AwayLosses","AwayWinningPct","TotalWinningPct","AbsoluteDiff","RelativeDiff"
"ARI",72,90,0.444444444444444,54,108,0.333333333333333,0.388888888888889,0.0555555555555555,0.142857142857143
"ATL",97,64,0.602484472049689,92,70,0.567901234567901,0.585139318885449,0.0173451531642406,0.02964277498439
"CHN",76,86,0.469135802469136,69,93,0.425925925925926,0.447530864197531,0.0216049382716049,0.0482758620689655
"SLN",98,64,0.604938271604938,85,77,0.524691358024691,0.564814814814815,0.0401234567901235,0.0710382513661203
"WAS",61,101,0.376543209876543,59,103,0.364197530864198,0.37037037037037,0.00617283950617287,0.0166666666666667
"ANA",80,83,0.49079754601227,70,91,0.434782608695652,0.462962962962963,0.027834583049307,0.0601226993865031
"KCA",78,84,0.481481481481481,61,101,0.376543209876543,0.429012345679012,0.0524691358024691,0.122302158273381
"COL",89,73,0.549382716049383,53,108,0.329192546583851,0.439628482972136,0.109754233077246,0.249652234394018
"PHI",94,68,0.580246913580247,75,87,0.462962962962963,0.521604938271605,0.058641975308642,0.112426035502959
"SFN",98,64,0.604938271604938,90,72,0.555555555555556,0.580246913580247,0.0246913580246914,0.0425531914893617
"DET",78,85,0.478527607361963,65,96,0.403726708074534,0.441358024691358,0.0371695826706052,0.0842163970998327
"MIN",84,78,0.518518518518518,67,95,0.41358024691358,0.466049382716049,0.0524691358024691,0.112582781456954
"NYA",103,59,0.635802469135803,88,74,0.54320987654321,0.589506172839506,0.0462962962962964,0.0785340314136127
"TBA",103,59,0.635802469135803,83,79,0.512345679012346,0.574074074074074,0.0617283950617284,0.10752688172043
"TOR",94,67,0.583850931677019,89,74,0.54601226993865,0.564814814814815,0.0190361168622039,0.0337032888707872
"BAL",72,90,0.444444444444444,63,99,0.388888888888889,0.416666666666667,0.0277777777777777,0.0666666666666666
"TEX",70,92,0.432098765432099,58,104,0.358024691358025,0.395061728395062,0.037037037037037,0.09375
"CIN",77,85,0.475308641975309,68,94,0.419753086419753,0.447530864197531,0.0277777777777778,0.0620689655172414
"PIT",71,91,0.438271604938272,52,110,0.320987654320988,0.37962962962963,0.058641975308642,0.154471544715447
"CHA",90,72,0.555555555555556,84,78,0.518518518518518,0.537037037037037,0.0185185185185185,0.0344827586206896
"LAN",115,47,0.709876543209877,102,60,0.62962962962963,0.669753086419753,0.0401234567901235,0.0599078341013826
"MIA",76,86,0.469135802469136,60,102,0.37037037037037,0.419753086419753,0.0493827160493827,0.117647058823529
"MIL",91,71,0.561728395061728,90,72,0.555555555555556,0.558641975308642,0.00308641975308643,0.00552486187845306
"SDN",89,73,0.549382716049383,79,83,0.487654320987654,0.518518518518518,0.0308641975308642,0.0595238095238096
"NYN",101,61,0.623456790123457,77,85,0.475308641975309,0.549382716049383,0.0740740740740741,0.134831460674157
"BOS",92,70,0.567901234567901,78,84,0.481481481481481,0.524691358024691,0.0432098765432098,0.0823529411764705
"CLE",86,76,0.530864197530864,86,76,0.530864197530864,0.530864197530864,0,0
"SEA",92,70,0.567901234567901,88,74,0.54320987654321,0.555555555555556,0.0123456790123456,0.0222222222222221
"HOU",106,56,0.654320987654321,95,67,0.58641975308642,0.62037037037037,0.0339506172839507,0.054726368159204
"OAK",72,89,0.447204968944099,74,89,0.45398773006135,0.450617283950617,-0.0034123150065179,-0.00757253467199862
