"Rank","Team","DRA","DRA SD","DRA-","cFIP","cFIP SD","Innings Pitched","As of"
"1","HOU","3.75","0.16","86","91","3","1445.3","2022-10-05"
"2","ATL","3.8","0.19","87","90","3","1448","2022-10-05"
"3","NYM","3.86","0.17","89","90","3","1438.7","2022-10-05"
"4","LAD","3.88","0.18","89","94","3","1451.3","2022-10-05"
"5","NYY","4.01","0.18","92","95","3","1451.7","2022-10-05"
"6","MIL","4.02","0.18","92","94","3","1446","2022-10-05"
"7","SD","4.06","0.19","93","97","3","1443.3","2022-10-05"
"8","TB","4.1","0.17","94","94","3","1435.7","2022-10-05"
"8","SF","4.1","0.17","94","92","3","1433","2022-10-05"
"10","PHI","4.11","0.19","94","94","3","1428.3","2022-10-05"
"11","MIA","4.12","0.17","95","96","3","1437.3","2022-10-05"
"12","CLE","4.15","0.18","95","98","3","1456","2022-10-05"
"13","LAA","4.16","0.2","96","97","3","1435.7","2022-10-05"
"14","CWS","4.2","0.21","97","99","3","1447","2022-10-05"
"15","TOR","4.22","0.2","97","98","3","1441.3","2022-10-05"
"16","SEA","4.35","0.22","100","99","3","1447","2022-10-05"
"17","CHC","4.36","0.19","100","101","3","1443.7","2022-10-05"
"18","MIN","4.42","0.21","102","103","3","1437","2022-10-05"
"19","BOS","4.47","0.21","103","102","3","1431","2022-10-05"
"20","CIN","4.57","0.22","105","104","3","1423.3","2022-10-05"
"20","BAL","4.57","0.2","105","102","3","1433.3","2022-10-05"
"22","TEX","4.61","0.21","106","103","3","1435","2022-10-05"
"23","STL","4.69","0.2","108","103","3","1435.7","2022-10-05"
"24","ARI","4.73","0.21","109","108","3","1430","2022-10-05"
"25","PIT","4.75","0.21","109","105","3","1421","2022-10-05"
"25","DET","4.75","0.22","109","106","3","1419","2022-10-05"
"27","KC","4.81","0.24","111","106","3","1416","2022-10-05"
"28","OAK","4.89","0.22","112","109","3","1426.3","2022-10-05"
"29","COL","5","0.24","115","108","3","1425.3","2022-10-05"
"30","WSH","5.04","0.26","116","110","3","1411.7","2022-10-05"
