"Rank","Team","DRA","DRA SD","DRA-","cFIP","cFIP SD","Innings Pitched","As of"
"1","ATL","3.81","0.17","87","89","3","1278.3","2022-09-14"
"2","HOU","3.84","0.17","88","93","3","1273.3","2022-09-14"
"3","NYM","3.9","0.17","89","91","3","1280.7","2022-09-14"
"4","LAD","3.98","0.2","91","96","3","1268.7","2022-09-14"
"5","SF","4.06","0.18","93","91","3","1262","2022-09-14"
"6","NYY","4.07","0.18","93","95","3","1285.3","2022-09-14"
"7","PHI","4.09","0.18","93","93","3","1258.3","2022-09-14"
"8","SD","4.11","0.19","94","97","3","1271","2022-09-14"
"8","TB","4.11","0.18","94","94","3","1262.7","2022-09-14"
"10","MIL","4.12","0.19","94","96","3","1272","2022-09-14"
"11","MIA","4.18","0.19","96","96","3","1266","2022-09-14"
"12","CWS","4.2","0.2","96","98","3","1275","2022-09-14"
"13","TOR","4.23","0.2","97","98","3","1274","2022-09-14"
"14","LAA","4.24","0.19","97","98","3","1268","2022-09-14"
"15","CLE","4.26","0.2","97","99","3","1255","2022-09-14"
"16","SEA","4.31","0.2","99","98","3","1271","2022-09-14"
"17","CHC","4.38","0.18","100","101","3","1276.7","2022-09-14"
"18","MIN","4.4","0.2","101","102","3","1252.3","2022-09-14"
"19","BOS","4.41","0.19","101","101","3","1273","2022-09-14"
"20","CIN","4.6","0.22","105","104","3","1248.7","2022-09-14"
"21","TEX","4.61","0.19","105","102","3","1269","2022-09-14"
"21","BAL","4.61","0.23","105","102","3","1258.7","2022-09-14"
"23","STL","4.68","0.19","107","103","3","1268.7","2022-09-14"
"24","DET","4.74","0.21","108","106","3","1247","2022-09-14"
"24","ARI","4.74","0.22","108","107","3","1254.3","2022-09-14"
"26","PIT","4.8","0.22","110","105","3","1256","2022-09-14"
"27","KC","4.85","0.22","111","106","3","1252.3","2022-09-14"
"28","OAK","4.92","0.23","113","109","3","1260.7","2022-09-14"
"29","WSH","4.96","0.24","114","109","3","1249.7","2022-09-14"
"30","COL","5.02","0.23","115","108","3","1259.3","2022-09-14"
